DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
48070120,Alberta,305,0.333,-0.993,0.322,0.128
48070121,Alberta,475,0.225,-0.785,-0.835,1.205
48070122,Alberta,575,0.518,-0.12,-0.183,-0.095
48070123,Alberta,465,0.328,-0.633,-0.331,0.45
48070124,Alberta,460,1.27,0.274,0.168,0.689
48070126,Alberta,445,-0.154,-0.343,-0.943,-0.34
48070130,Alberta,435,0.635,-0.598,-2.067,-0.66
48070131,Alberta,385,0.653,-0.543,-0.383,0.618
48070132,Alberta,460,-1.219,-1.042,-0.035,-0.675
48070133,Alberta,225,-0.507,-1.031,-0.471,0.275
48070134,Alberta,405,-0.801,-1.099,-0.296,-0.744
48070135,Alberta,220,-0.272,-0.702,0.409,0.651
48070136,Alberta,200,-0.201,-0.726,0.741,0.736
48070137,Alberta,370,-0.129,-1.092,-0.229,0.343
48070138,Alberta,430,-0.58,-1.036,-0.809,-0.581
48070139,Alberta,545,-0.571,-0.461,-0.659,-0.543
48070140,Alberta,525,-0.616,-0.647,-0.83,0.137
48070141,Alberta,335,0.174,-1.008,-0.395,-0.067
48070142,Alberta,390,0.604,-0.921,-0.358,0.644
48070143,Alberta,400,-0.976,-1.062,-0.531,-0.41
48070144,Alberta,505,-0.585,-1.013,-1.143,-0.311
48070145,Alberta,340,-0.57,-1.039,0.652,0.117
48070147,Alberta,355,-0.109,-0.953,0.229,-0.009
48070148,Alberta,520,-0.867,-0.755,-1.272,-0.268
48070149,Alberta,470,-1.168,-1.145,-0.784,-0.056
48070152,Alberta,500,-0.671,-1.069,-1.017,-0.526
48070153,Alberta,345,0.228,-0.965,1.367,0.309
48070154,Alberta,405,-0.429,-0.801,1.273,0.049
48070155,Alberta,390,-0.912,-1.075,-1.28,-0.412
48070156,Alberta,65,0.004,-1.068,1.478,1.964
48070157,Alberta,345,-0.925,-0.927,-1.896,-0.13
48070159,Alberta,385,-1.063,-0.832,-0.146,0.194
48070160,Alberta,540,-0.884,-0.913,0.87,-0.94
48070161,Alberta,480,0.707,-0.775,0.622,0.368
48070162,Alberta,495,0.714,-0.411,0.917,0.61
48070163,Alberta,425,0.54,-0.652,0.112,0.229
48070164,Alberta,410,0.443,0.085,-0.765,0.195
48070165,Alberta,325,0.546,-0.779,0.142,0.837
48070167,Alberta,515,-0.152,-0.711,0.385,-0.179
48070168,Alberta,980,-0.565,-0.436,-1.091,-0.595
48070169,Alberta,445,-0.098,-0.826,0.106,0.035
48070170,Alberta,420,-0.653,-0.951,0.792,-0.599
48070172,Alberta,385,-0.962,-0.74,0.232,0.312
48070173,Alberta,650,-1.012,-0.913,-1.242,-0.169
48070175,Alberta,140,-1.034,-1.009,1.625,-0.86
48070176,Alberta,125,-0.636,-1.133,3.708,-1.183
48070177,Alberta,485,-0.913,-0.834,-0.745,-0.371
48070178,Alberta,215,0.323,-1.018,2.002,0.718
48070179,Alberta,515,-0.504,-0.714,-0.822,0.521
48070180,Alberta,180,-0.062,-1.066,-0.227,0.549
48070181,Alberta,255,-1.247,-0.776,-1.513,-0.657
48070182,Alberta,285,-0.432,-0.975,1.197,0.485
48070183,Alberta,205,-0.636,-1.058,1.041,0.82
48070184,Alberta,325,-0.922,-1.01,-1.035,-0.224
48070185,Alberta,380,0.321,-0.608,-0.24,-0.014
48070186,Alberta,470,-0.114,-0.938,0.187,0.172
48070187,Alberta,375,-0.682,-1.111,-0.643,-0.838
48070188,Alberta,130,-0.449,-0.964,1.631,0.836
48070190,Alberta,85,-0.002,-1.247,2.101,1.018
48070193,Alberta,490,-0.728,-0.937,-0.949,-0.412
48070196,Alberta,610,-0.747,-0.726,-1.39,-0.078
48070198,Alberta,900,0.364,-0.456,0.196,0.161
48070204,Alberta,410,0.084,-0.976,1.423,0.009
48070205,Alberta,300,-0.701,-1.266,-0.274,-0.304
48070207,Alberta,145,0.159,-0.884,2.741,0.485
48070208,Alberta,635,-0.925,-1.016,-0.919,-0.393
48070210,Alberta,630,-0.284,0.061,-1.328,-0.394
48070211,Alberta,685,-0.96,-0.951,-0.924,-0.656
48070213,Alberta,1630,-0.072,-0.263,-1.361,-0.494
48070214,Alberta,450,-0.931,-0.85,-0.905,-0.475
48070216,Alberta,490,-0.486,-0.379,-0.51,-0.347
48070217,Alberta,440,-0.664,-0.981,-0.718,-0.267
48070218,Alberta,330,-0.514,-1.028,0.793,-0.036
48080072,Alberta,255,-0.977,-0.403,0.928,-0.458
48080073,Alberta,410,-1.101,-0.901,-0.623,-0.277
48080074,Alberta,265,-0.72,-0.782,-1.265,-0.463
48080075,Alberta,675,0.001,0.039,-1.103,0.273
48080076,Alberta,565,0.441,-0.497,-0.891,0.144
48080077,Alberta,365,-1.018,-0.447,-1.087,-0.638
48080078,Alberta,390,-0.22,-0.306,-0.093,0.649
48080079,Alberta,430,-0.237,-0.589,-0.135,0.047
48080080,Alberta,500,-0.736,-0.657,-1.03,0.128
48080081,Alberta,580,-0.477,-0.173,-0.433,0.35
48080082,Alberta,465,-0.666,-0.608,0.645,-0.131
48080083,Alberta,540,-0.195,-0.417,-0.176,0.292
48080084,Alberta,740,-1.063,-0.706,-0.391,-0.55
48080087,Alberta,1315,-0.505,-0.278,-1.044,-0.461
48080088,Alberta,375,-0.394,-0.867,0.397,-0.575
48080089,Alberta,500,1.999,-0.107,-0.135,1.164
48080090,Alberta,450,-0.164,-0.572,0.064,-0.011
48080091,Alberta,435,0.247,-0.91,-0.324,0.228
48080092,Alberta,640,-0.081,-0.601,-0.38,-0.426
48080093,Alberta,355,-0.313,-0.79,0.275,-0.284
48080094,Alberta,610,0.25,-0.41,1.555,0.391
48080095,Alberta,720,2.198,-0.416,2.741,-0.341
48080096,Alberta,255,1.172,-0.948,0.964,0.087
48080097,Alberta,375,3.728,0.066,0.68,1.211
48080098,Alberta,415,2.851,0.569,1.129,0.386
48080099,Alberta,570,1.717,0.189,-0.879,0.663
48080101,Alberta,260,0.868,-0.605,1.7,0.835
48080102,Alberta,625,1.644,-0.29,1.27,0.051
48080103,Alberta,345,-0.574,-1.054,-0.522,-0.578
48080104,Alberta,660,1.031,0.938,-1.037,0.471
48080105,Alberta,385,0.592,1.641,-0.357,1.199
48080106,Alberta,440,0.63,0.419,-1.101,0.473
48080109,Alberta,290,0.436,-0.425,-0.166,0.218
48080111,Alberta,540,-0.231,0.672,0.145,0.566
48080112,Alberta,380,1.538,0.083,-1.001,1.116
48080113,Alberta,395,0.152,0.403,0.266,1.207
48080114,Alberta,460,0.374,0.28,-0.094,0.886
48080115,Alberta,470,0.77,0.647,-0.815,0.775
48080116,Alberta,645,0.623,-0.737,0.018,1.905
48080117,Alberta,350,-0.015,0.104,-0.329,-0.166
48080118,Alberta,390,-0.56,-0.446,-0.472,0.429
48080119,Alberta,455,-0.159,0.024,-0.007,0.993
48080122,Alberta,400,-0.75,-0.347,1.062,-0.975
48080123,Alberta,620,1.995,0.244,0.013,1.245
48080124,Alberta,280,1.081,0.342,1.704,-0.151
48080125,Alberta,265,0.342,-0.341,0.787,0.105
48080126,Alberta,290,-0.071,-0.573,-0.052,0.667
48080127,Alberta,515,-0.126,0.303,-0.423,0.83
48080128,Alberta,470,0.292,-0.691,0.469,1.179
48080136,Alberta,540,-0.218,-0.354,-1.142,0.336
48080137,Alberta,420,0.486,-0.768,-0.537,0.37
48080138,Alberta,375,1.688,0.2,0.111,1.188
48080139,Alberta,380,-1.051,-0.807,1.02,-0.343
48080140,Alberta,730,1.717,-0.326,2.759,0.347
48080141,Alberta,335,3.904,-0.09,-0.214,1.841
48080142,Alberta,575,2.288,-0.27,0.678,0.574
48080143,Alberta,320,0.591,0.227,-0.176,0.876
48080144,Alberta,1045,0.72,0.942,0.229,1.001
48080145,Alberta,665,2.239,-0.37,-0.103,0.864
48080146,Alberta,470,3.152,-0.291,3.676,0.681
48080147,Alberta,435,2.334,-0.517,0.686,-0.114
48080148,Alberta,485,-0.465,-0.57,1.854,-0.721
48080149,Alberta,725,2.378,0.76,-0.515,-0.007
48080150,Alberta,455,-0.085,-0.245,-1.249,-0.354
48080151,Alberta,440,-0.316,-0.41,-0.955,-0.548
48080152,Alberta,515,1.924,0.554,-0.306,-0.456
48080153,Alberta,825,2.247,1.271,-0.579,0.967
48080154,Alberta,250,0.771,0.123,0.443,0.484
48080155,Alberta,740,1.395,0.523,-0.649,1.128
48080157,Alberta,355,1.63,0.552,-0.399,0.533
48080158,Alberta,655,1.785,-0.062,0.16,1.182
48080160,Alberta,445,-0.288,-0.296,-0.343,0.432
48080161,Alberta,620,1.092,0.06,-0.557,1.134
48080162,Alberta,445,1.716,1.309,-0.495,1.689
48080163,Alberta,330,-0.462,-0.622,-0.333,0.633
48080165,Alberta,230,0.074,-0.543,0.449,-0.562
48080167,Alberta,425,-0.688,-0.233,0.338,0.91
48080168,Alberta,280,0.056,-0.615,0.138,0.569
48080169,Alberta,355,-0.892,-0.945,0.52,-0.402
48080236,Alberta,405,1.176,-0.658,-0.223,0.541
48080238,Alberta,415,0.874,-0.06,-0.151,0.091
48080239,Alberta,260,0.605,-0.103,-0.717,1.144
48080240,Alberta,390,-1.307,-0.565,-0.371,0.115
48080243,Alberta,750,0.116,-0.55,1.469,-0.153
48080244,Alberta,475,0.394,-0.009,-0.82,0.395
48080245,Alberta,445,-0.746,-0.208,0.547,-0.303
48080246,Alberta,525,0.654,-0.525,0.468,0.757
48080247,Alberta,515,-0.691,-0.314,-0.553,0.247
48080248,Alberta,490,-0.16,-0.619,0.198,0.839
48080249,Alberta,395,0.971,-0.493,-0.057,0.549
48080250,Alberta,350,1.071,-0.06,-0.077,0.779
48080251,Alberta,675,0.115,-0.217,-0.42,0.196
48080254,Alberta,435,-0.654,-0.485,-0.547,-0.261
48080255,Alberta,485,-0.968,-0.525,0.546,-0.621
48080269,Alberta,890,0.035,-0.13,-0.67,0.663
48080271,Alberta,315,-0.675,-0.708,0.322,0.241
48080272,Alberta,475,-0.453,-0.84,-0.178,0.133
48080273,Alberta,455,-0.865,-0.794,0.649,0.844
48080274,Alberta,530,-0.825,-0.723,-1.248,-0.246
48080275,Alberta,540,-0.692,-0.483,-0.583,0.696
48080276,Alberta,500,0.045,-0.815,1.746,-0.346
48080277,Alberta,495,0.353,-0.816,1.358,0.324
48080278,Alberta,685,-0.298,-0.608,0.647,0.55
48080279,Alberta,660,0.276,-0.824,2.129,-0.086
48080280,Alberta,740,-1.012,-0.812,0.708,-0.221
48080281,Alberta,130,-0.862,-0.297,2.071,-0.274
48080283,Alberta,455,-0.787,-0.713,-0.798,-0.297
48080285,Alberta,585,-1.025,-0.389,-0.516,-0.187
48080286,Alberta,425,-0.824,-0.7,-0.033,-0.188
48080287,Alberta,220,-1.017,-0.648,2.016,-0.788
48080290,Alberta,380,-1.009,-0.799,-0.571,0.114
48080291,Alberta,1050,-0.076,-0.327,-1.162,0.254
48080292,Alberta,665,-0.559,-0.596,-0.345,0.842
48080298,Alberta,370,-0.79,-0.843,-0.009,-1.119
48080299,Alberta,475,-0.869,-0.812,-1.369,-0.449
48080300,Alberta,610,-1.02,-0.89,-0.882,-0.309
48080301,Alberta,500,-0.567,-0.59,-0.318,0.026
48080303,Alberta,605,-0.205,-0.865,0.215,0.645
48080305,Alberta,1040,-0.53,-0.576,-0.89,0.227
48080308,Alberta,495,-1.285,-0.754,0.687,-1.096
48080309,Alberta,615,-0.306,-0.869,-1.354,-0.144
48080310,Alberta,650,-0.502,-0.861,1.689,-0.396
48080312,Alberta,490,-1.14,-0.617,-0.344,-0.333
48080313,Alberta,450,-1.59,-0.749,0.42,-0.764
48080317,Alberta,400,-0.425,-0.764,-0.98,0.232
48080318,Alberta,515,-0.22,-0.397,-1.167,-0.32
48080320,Alberta,380,0.248,-0.554,-0.457,0.264
48080321,Alberta,365,1.013,-0.241,-1.001,1.029
48080322,Alberta,305,0.955,-0.534,1.617,-0.086
48080323,Alberta,325,0.279,-0.568,0.353,0.784
48080324,Alberta,490,-0.328,-0.544,-0.937,-0.423
48080325,Alberta,295,0.046,-0.86,-0.315,1.063
48080328,Alberta,520,-0.232,-0.68,-0.419,-0.101
48080331,Alberta,475,1.687,-0.799,-0.405,-0.289
48080332,Alberta,395,0.718,-0.609,1.138,-0.232
48080333,Alberta,165,-0.923,-0.715,0.338,-1.031
48080335,Alberta,315,-0.765,-0.839,1.229,-0.625
48080336,Alberta,60,-1.339,-0.987,0.314,-0.679
48080337,Alberta,355,-0.933,-1.098,-0.188,-0.227
48080338,Alberta,420,-0.629,-0.815,-0.025,0.13
48080339,Alberta,415,-0.482,-0.822,-0.112,0.036
48080340,Alberta,495,-1.275,-0.828,-0.114,-0.148
48080341,Alberta,335,-0.496,-0.862,1.17,0.121
48080343,Alberta,470,-0.991,-0.532,-0.821,-0.511
48080344,Alberta,565,-0.948,-0.749,-0.227,-0.242
48080345,Alberta,585,-0.265,-0.593,-0.837,-0.331
48080346,Alberta,645,0.015,-0.801,0.568,0.272
48080347,Alberta,635,0.099,-0.706,-0.039,0.921
48080351,Alberta,440,-0.403,-0.844,0.845,0.012
48080352,Alberta,895,-0.641,-0.52,-0.015,0.25
48080353,Alberta,610,-0.87,-0.881,-0.077,-0.661
48080355,Alberta,400,0.87,-0.52,0.249,0.989
48080356,Alberta,345,1.259,-0.511,0.059,0.291
48080357,Alberta,365,1.091,0.055,0.345,-0.232
48080358,Alberta,665,-0.256,-0.623,1.171,0.029
48080359,Alberta,300,0.119,-0.276,0.465,0.796
48080360,Alberta,445,0.583,-0.607,0.714,0.222
48080361,Alberta,355,1.095,-1.039,1.797,-0.111
48080362,Alberta,525,-0.462,-0.829,-0.612,0.07
48080363,Alberta,445,0.353,-0.829,-0.237,-0.196
48080364,Alberta,450,-0.308,-0.693,0.967,0.342
48080365,Alberta,540,-0.708,-0.989,-0.569,-0.334
48080366,Alberta,525,-0.521,-0.677,-0.234,-0.379
48080367,Alberta,580,-1.04,-0.913,-1.202,-0.492
48080368,Alberta,675,-0.572,-0.691,0.961,-0.229
48080369,Alberta,305,-0.935,-0.881,-0.603,0.352
48080370,Alberta,515,-1.116,-1.024,-0.947,-0.328
48080371,Alberta,480,-0.479,-0.981,-0.243,-0.013
48080372,Alberta,330,0.074,-1.21,0.125,0.089
48080373,Alberta,340,-0.924,-0.903,-0.394,0.177
48080374,Alberta,870,-0.261,-0.784,0.195,0.45
48080375,Alberta,290,-0.757,-0.95,-0.719,-0.506
48080376,Alberta,355,-0.872,-0.973,0.139,-0.294
48080377,Alberta,475,-0.256,-0.691,0.732,1.209
48080378,Alberta,510,-0.44,-0.623,-0.093,0.589
48080379,Alberta,610,-0.287,-0.748,0.086,0.519
48080380,Alberta,475,-0.126,-0.943,0.234,0.017
48080381,Alberta,505,-0.956,-0.748,0.215,0.05
48080382,Alberta,850,-0.399,-0.658,-0.897,-0.062
48080383,Alberta,570,-0.64,-0.927,-1.397,-0.471
48080384,Alberta,415,-1.134,-0.803,-0.538,-0.059
48080386,Alberta,1120,0.244,0.041,-1.027,-0.22
48080387,Alberta,1295,-0.576,-0.251,-0.632,-0.894
48080388,Alberta,1275,-0.68,-0.221,-0.273,-0.574
48080389,Alberta,355,-0.94,-0.931,-0.656,-0.419
48080390,Alberta,270,-0.527,-0.655,0.614,-0.248
48080391,Alberta,365,0.429,-0.525,0.199,-0.071
48080392,Alberta,500,0.581,-0.35,-0.323,1.05
48080393,Alberta,400,0.294,-0.476,-0.532,-0.009
48080394,Alberta,370,0.98,-0.85,0.617,-0.366
48080395,Alberta,365,1.264,-0.426,1.17,0.45
48080398,Alberta,325,0.332,-0.542,0.214,0.786
48080399,Alberta,410,-0.08,-0.689,0.111,-0.143
48080400,Alberta,1100,-0.338,-0.534,-0.801,-0.338
48080401,Alberta,360,-0.045,-0.755,0.07,0.273
48080402,Alberta,280,0.261,-0.493,-0.244,0.045
48080403,Alberta,400,-0.87,-0.484,1.038,-0.56
48080405,Alberta,385,-0.826,-0.917,0.71,0.133
48080406,Alberta,820,-0.77,-0.612,-0.275,-0.73
48080407,Alberta,595,-0.383,-0.119,-1.185,-0.096
48080408,Alberta,440,-0.221,-0.707,-0.037,1.163
48080409,Alberta,405,0.435,0.169,1.881,0.382
48080410,Alberta,925,-1.193,-0.511,-0.834,-0.469
48080413,Alberta,475,-0.436,-0.454,0.507,-0.38
48080414,Alberta,530,0.503,-0.232,-0.479,0.919
48080415,Alberta,945,-0.632,-0.519,-0.043,-0.463
48080416,Alberta,450,0.479,-0.737,0.183,1.851
48080417,Alberta,485,0.056,-0.698,-0.538,0.614
48080418,Alberta,285,0.206,-0.486,0.124,0.142
48080419,Alberta,355,0.586,-0.618,1.387,1.136
48080420,Alberta,550,1.786,-0.188,0.503,1.254
48080421,Alberta,510,1.551,-0.049,0.407,0.412
48080422,Alberta,570,-0.349,-0.851,-0.272,-0.048
48080423,Alberta,395,-0.813,-0.541,-1.14,-0.756
48080424,Alberta,655,-0.78,-0.584,-0.303,-0.583
48080425,Alberta,515,0.163,-0.002,-0.203,0.646
48080426,Alberta,240,-0.852,-0.399,-0.55,-0.332
48080427,Alberta,695,-0.77,-0.675,-1.257,-0.513
48080428,Alberta,600,-0.608,0.055,0.288,6.75
48080430,Alberta,450,-0.573,-0.07,0.148,7.406
48080431,Alberta,395,-0.813,-0.242,-0.156,7.472
48080432,Alberta,255,-0.691,0.267,0.831,7.697
48080433,Alberta,835,-0.747,0.136,0.484,8.34
48080434,Alberta,365,-0.606,0.032,0.604,7.331
48080435,Alberta,615,-0.867,0.255,0.26,7.359
48080436,Alberta,540,-0.836,-1.042,-0.351,-0.516
48080437,Alberta,580,-1.071,-0.821,-0.112,0.808
48080438,Alberta,315,-0.325,0.269,-0.195,7.404
48080439,Alberta,495,-0.757,-0.745,-0.883,-0.529
48080440,Alberta,345,-1.109,-0.781,-0.643,-0.753
48080442,Alberta,425,-0.598,-0.754,-0.447,-0.587
48080443,Alberta,490,-0.952,-0.698,-0.112,0.127
48080444,Alberta,600,-0.636,-0.953,-0.77,0.092
48080445,Alberta,600,-0.651,-0.782,0.856,0.021
48080446,Alberta,375,0.243,-0.748,0.007,-0.013
48080447,Alberta,450,-0.451,-0.916,-0.904,-0.529
48080448,Alberta,485,-0.612,-0.799,-0.087,0.089
48080449,Alberta,650,-0.794,-0.768,-0.118,-0.427
48080451,Alberta,155,-1.145,-0.788,0.011,-0.853
48080452,Alberta,330,0.282,-0.66,-0.35,-0.401
48080453,Alberta,495,-0.134,-0.647,0.312,2.097
48080454,Alberta,550,-0.35,-0.792,0.291,0.637
48080455,Alberta,455,-0.188,0.302,-1.65,0.097
48080456,Alberta,385,-0.807,-0.532,0.419,-0.709
48080457,Alberta,375,-0.553,-0.178,0.206,-0.214
48080458,Alberta,730,-0.586,-0.314,-0.458,-0.559
48080459,Alberta,495,0.114,-0.272,-0.808,-0.549
48080460,Alberta,1135,-0.309,0.058,-1.285,0.061
48080461,Alberta,365,-0.468,-0.779,1.375,-0.875
48080462,Alberta,505,-0.9,-0.543,-0.172,-0.405
48080463,Alberta,805,-0.941,-0.509,0.307,-0.401
48080464,Alberta,590,-0.767,-0.314,-0.046,-0.554
48080465,Alberta,895,-0.156,-0.705,1.182,-0.356
48080466,Alberta,740,-1.001,-0.491,-0.439,-0.437
48080467,Alberta,300,-0.113,-0.218,-0.939,0.257
48080468,Alberta,205,-0.904,-0.634,-1.165,-0.672
48080469,Alberta,240,-0.098,-0.603,-0.124,0.046
48080472,Alberta,505,-1.197,-0.327,0.246,-0.781
48080475,Alberta,535,0.1,-0.6,-0.192,-0.183
48080477,Alberta,890,-0.036,-0.209,-1.208,-0.214
48080478,Alberta,875,-0.201,-0.441,-1.181,-0.381
48080479,Alberta,480,-0.714,-0.234,-0.888,-0.284
48080480,Alberta,435,-0.296,-0.353,-0.842,-0.111
48080481,Alberta,925,-0.586,-0.386,-1.44,-0.696
48080482,Alberta,590,-0.977,-0.506,0.011,-0.982
48080483,Alberta,480,0.649,0.039,-0.512,-0.533
48080484,Alberta,1055,-0.695,-0.485,-1.49,-0.719
48080485,Alberta,1510,-0.304,-0.191,-1.337,-0.319
48080486,Alberta,1645,-0.473,-0.229,-1.251,-0.629
48080487,Alberta,1005,0.011,0.184,-0.984,0.005
48080489,Alberta,1960,0.299,0.278,-1.589,0.105
48080490,Alberta,940,0.264,0.915,-1.971,-0.753
48080491,Alberta,975,0.021,-0.206,0.826,-0.129
48080492,Alberta,580,0.264,0.099,-0.609,0.407
48080493,Alberta,1155,-0.598,0.105,-1.093,-0.153
48080495,Alberta,1160,0.222,0.628,-1.223,-0.051
48080496,Alberta,715,-0.458,0.045,-1.086,-0.534
48080497,Alberta,830,0.409,0.727,-1.005,0.336
48080503,Alberta,220,-0.374,-1.125,1.165,-1.086
48080504,Alberta,2630,0.051,-0.55,-1.261,-0.072
48080505,Alberta,800,-0.065,-0.309,-0.567,0.285
48080508,Alberta,255,0.78,-0.744,-0.658,1.051
48080509,Alberta,510,-1.184,-0.667,-0.695,-0.735
48080514,Alberta,1735,0.09,-0.596,-0.983,-0.022
48080516,Alberta,1665,0.11,-0.297,-0.147,0.226
48080517,Alberta,360,1.135,0.272,0.188,0.494
48080518,Alberta,585,-1.004,-0.715,-0.799,-0.252
48080520,Alberta,580,-1.127,-0.728,-0.265,-0.502
48080521,Alberta,90,-0.848,-0.854,-0.091,-0.458
48080522,Alberta,480,-1.089,-0.903,-0.613,-0.964
48080524,Alberta,550,-1.067,-0.773,-0.74,-1.01
48080525,Alberta,375,-0.915,-0.704,0.459,0.386
48080526,Alberta,90,-1.234,-0.609,0.861,-0.837
48080533,Alberta,880,-0.674,-0.725,0.176,-0.377
48080534,Alberta,410,-0.875,-0.695,-1.156,-0.728
48080535,Alberta,135,-1.091,-0.89,0.77,-0.797
48080536,Alberta,715,-0.147,-0.703,0.293,-0.108
48080537,Alberta,730,-0.299,-0.797,-0.35,-0.124
48080538,Alberta,300,-0.895,-0.728,-0.825,-0.276
48080540,Alberta,505,-1.249,-0.694,-0.682,-0.363
48080541,Alberta,430,0.325,-0.164,-0.189,-0.132
48080542,Alberta,515,-0.883,-0.985,-0.331,-0.783
48080544,Alberta,725,-0.524,-0.731,0.19,-0.162
48080545,Alberta,425,-0.106,-0.924,-0.06,-0.379
48080547,Alberta,525,-0.647,-0.691,-1.202,-0.671
48080548,Alberta,540,-1.194,-0.897,-1.126,-0.239
48080551,Alberta,1655,0.45,-0.339,-1.189,0.404
48080552,Alberta,440,-1.247,-0.592,-0.241,-0.655
48080556,Alberta,1305,0.473,-0.523,-1.112,0.163
48080557,Alberta,3205,-0.498,-0.636,-0.776,-0.233
48080558,Alberta,1280,-0.207,-0.706,0.057,0.029
48080559,Alberta,525,1.087,-0.142,-0.458,-0.264
48080561,Alberta,1840,-0.228,-0.519,-1.471,-0.013
48080562,Alberta,670,0.346,-0.126,-1.088,0.187
48080563,Alberta,1625,0.092,-0.623,-1.325,0.171
48080564,Alberta,3590,0.046,0.336,-1.62,-0.611
48080565,Alberta,390,-0.528,-0.54,-0.718,0.565
48080566,Alberta,1690,0.363,0.225,-1.619,-0.816
48080567,Alberta,2305,0.163,-0.009,-1.588,-0.672
48080569,Alberta,460,-0.751,-0.221,-0.542,-0.276
48080570,Alberta,2120,-0.251,-0.101,-0.855,-0.214
48080572,Alberta,440,1.183,-0.254,1.151,-0.157
48080577,Alberta,765,-1.011,-0.631,0.82,-0.526
48080578,Alberta,1225,-1.15,-0.558,-0.642,-0.868
48080579,Alberta,2585,-0.52,0.222,-0.598,-0.198
48080580,Alberta,540,-0.266,-0.598,-0.53,-0.056
48080581,Alberta,1795,-0.699,-0.315,-1.222,-0.542
48080582,Alberta,430,-0.345,-0.691,-0.373,0.901
48080584,Alberta,555,0.648,-0.787,1.882,-0.483
48080585,Alberta,2490,-0.076,0.104,-1.62,-0.674
48080586,Alberta,475,0.305,-0.792,-0.199,0.355
48080588,Alberta,330,0.426,0.371,-1.422,1.687
48080590,Alberta,500,0.023,-0.583,1.135,2.336
48080591,Alberta,425,0.739,-0.325,0.225,0.701
48080593,Alberta,980,1.27,0.55,-0.523,0.853
48080594,Alberta,485,1.991,0.627,0.108,1.238
48080595,Alberta,290,-1.234,-0.717,0.526,-0.167
48080596,Alberta,4680,-0.444,-0.427,-1.335,-0.246
48080597,Alberta,1035,0.068,-0.268,-1.447,0.269
48090046,Alberta,460,-0.139,-0.027,0.095,6.305
48090048,Alberta,340,-0.48,-0.032,0.23,6.162
48090049,Alberta,580,-0.715,-0.756,1.374,0.145
48090050,Alberta,560,-0.735,-0.901,0.259,0.262
48090051,Alberta,585,-0.615,-0.874,-0.044,-0.322
48090052,Alberta,550,-0.801,-0.99,-1.162,-0.594
48090053,Alberta,560,-0.727,-0.846,0.098,-0.065
48090054,Alberta,550,-0.699,-1.054,-0.738,-0.296
48090055,Alberta,600,-0.697,-0.68,-0.193,0.808
48090056,Alberta,480,-0.677,-0.76,-0.569,0.329
48090057,Alberta,355,-0.871,-1.07,0.35,-0.813
48090058,Alberta,660,-0.596,-0.753,-0.25,-0.3
48090059,Alberta,395,-0.105,-0.432,0.054,0.79
48090060,Alberta,615,0.727,-0.111,-0.696,2.006
48090061,Alberta,360,0.863,-0.457,1.202,-0.101
48090062,Alberta,400,1.189,-0.57,-0.737,0.293
48090063,Alberta,450,0.913,-0.625,-0.066,0.542
48090064,Alberta,505,0.117,-0.275,-0.79,1.084
48090065,Alberta,300,0.724,-0.631,-0.381,0.55
48090066,Alberta,1280,-0.811,-0.555,-0.644,-0.243
48090067,Alberta,515,-0.587,-0.755,0.598,0.244
48090068,Alberta,480,-0.762,-0.404,0.024,-0.724
48090069,Alberta,315,0.917,-0.263,0.645,1.578
48090070,Alberta,905,-0.3,-0.612,-0.986,0.24
48090071,Alberta,590,-0.953,-0.757,-0.384,-0.569
48090072,Alberta,555,-0.936,-0.762,-0.679,0.079
48090073,Alberta,335,-0.37,-1.001,-0.009,-0.325
48090074,Alberta,515,-1.208,-0.787,-0.066,0.073
48090075,Alberta,540,-0.832,-0.895,0.139,-0.118
48090076,Alberta,565,-0.878,-0.922,-0.415,-0.007
48090077,Alberta,390,-0.786,-1.011,0.251,-0.261
48090078,Alberta,430,0.528,-0.714,1.222,1.322
48090079,Alberta,495,-0.638,-0.748,0.157,0.307
48090080,Alberta,520,-0.764,-0.675,-0.211,0.459
48090081,Alberta,690,-0.742,-0.626,-0.798,0.439
48090082,Alberta,455,-0.483,-0.73,-0.228,0.272
48090083,Alberta,295,-0.541,-0.938,0.746,0.105
48090085,Alberta,350,-0.288,-0.648,0.859,1.074
48100195,Alberta,525,0.66,-0.764,0.831,0.086
48100196,Alberta,465,-0.571,-0.939,-0.17,0.069
48100201,Alberta,875,-0.92,-0.703,-0.537,-0.113
48100202,Alberta,490,-1.112,-0.769,-0.7,-0.446
48100203,Alberta,695,0.191,-0.338,-0.541,-0.043
48100204,Alberta,475,0.127,-0.781,0.378,0.646
48100205,Alberta,440,-0.609,-0.67,0.293,0.139
48100206,Alberta,415,-0.67,-0.797,-0.498,-0.171
48100207,Alberta,565,-0.914,-0.644,-0.094,0.297
48100208,Alberta,455,-0.924,-0.966,0.21,0.013
48100209,Alberta,655,-0.893,-0.748,-0.166,0.086
48100210,Alberta,510,-0.589,-1.007,0.304,-0.179
48100211,Alberta,480,-1.034,-0.523,-0.463,-0.587
48100212,Alberta,350,0.188,-0.887,0.1,1.158
48100213,Alberta,385,0.335,-0.23,-0.088,1.189
48100214,Alberta,355,0.885,-0.34,-0.471,0.44
48100215,Alberta,660,1.173,-0.261,0.707,0.547
48100216,Alberta,170,1.649,-0.472,0.435,0.063
48100217,Alberta,340,1.527,-0.777,0.932,-0.567
